127.0.0.1, 2015-02-20 14:57:04, GET, /, HTTP/1.1, 303, 32.093358
127.0.0.1, 2015-02-20 14:57:05, GET, /welcome/default/index, HTTP/1.1, 200, 1.139544
127.0.0.1, 2015-02-20 14:57:05, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000824
127.0.0.1, 2015-02-20 14:57:05, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000720
127.0.0.1, 2015-02-20 14:57:05, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000668
127.0.0.1, 2015-02-20 14:57:05, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.000623
127.0.0.1, 2015-02-20 14:57:05, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000579
127.0.0.1, 2015-02-20 14:57:05, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001120
127.0.0.1, 2015-02-20 14:57:05, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001109
127.0.0.1, 2015-02-20 14:57:05, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001850
127.0.0.1, 2015-02-20 14:57:05, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.001916
127.0.0.1, 2015-02-20 14:57:05, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.001408
127.0.0.1, 2015-02-20 14:57:05, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001803
127.0.0.1, 2015-02-20 14:57:05, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000633
127.0.0.1, 2015-02-20 14:57:05, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000425
127.0.0.1, 2015-02-20 14:57:06, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000482
127.0.0.1, 2015-02-20 14:57:06, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000434
127.0.0.1, 2015-02-20 14:57:06, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000567
127.0.0.1, 2015-02-20 14:57:15, GET, /admin/default/index, HTTP/1.1, 200, 0.199459
127.0.0.1, 2015-02-20 14:57:15, GET, /admin/static/_2.9.12/js/jquery.js, HTTP/1.1, 200, 0.000471
127.0.0.1, 2015-02-20 14:57:15, GET, /admin/static/_2.9.12/js/calendar.js, HTTP/1.1, 200, 0.000642
127.0.0.1, 2015-02-20 14:57:15, GET, /admin/static/_2.9.12/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000679
127.0.0.1, 2015-02-20 14:57:15, GET, /admin/static/_2.9.12/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000622
127.0.0.1, 2015-02-20 14:57:15, GET, /admin/static/_2.9.12/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000637
127.0.0.1, 2015-02-20 14:57:15, GET, /admin/static/_2.9.12/js/web2py.js, HTTP/1.1, 200, 0.005627
127.0.0.1, 2015-02-20 14:57:15, GET, /admin/static/_2.9.12/css/calendar.css, HTTP/1.1, 200, 0.009258
127.0.0.1, 2015-02-20 14:57:15, GET, /admin/static/_2.9.12/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000937
127.0.0.1, 2015-02-20 14:57:15, GET, /admin/static/_2.9.12/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.002507
127.0.0.1, 2015-02-20 14:57:15, GET, /admin/static/_2.9.12/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.002810
127.0.0.1, 2015-02-20 14:57:15, GET, /admin/static/_2.9.12/css/bootstrap.min.css, HTTP/1.1, 200, 0.004099
127.0.0.1, 2015-02-20 14:57:15, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.002197
127.0.0.1, 2015-02-20 14:57:15, GET, /admin/static/_2.9.12/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.003462
127.0.0.1, 2015-02-20 14:57:15, GET, /admin/static/images/questions.png, HTTP/1.1, 200, 0.000470
127.0.0.1, 2015-02-20 14:57:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000640
127.0.0.1, 2015-02-20 14:57:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000292
127.0.0.1, 2015-02-20 14:57:18, POST, /admin/default/index, HTTP/1.1, 303, 0.048683
127.0.0.1, 2015-02-20 14:57:18, GET, /admin/default/site, HTTP/1.1, 200, 0.057683
127.0.0.1, 2015-02-20 14:57:18, GET, /admin/static/_2.9.12/images/folder_locked.png, HTTP/1.1, 200, 0.000681
127.0.0.1, 2015-02-20 14:57:18, GET, /admin/static/_2.9.12/images/folder.png, HTTP/1.1, 200, 0.000438
127.0.0.1, 2015-02-20 14:57:18, GET, /admin/static/_2.9.12/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000436
127.0.0.1, 2015-02-20 14:57:27, POST, /admin/default/check_version, HTTP/1.1, 200, 8.489344
127.0.0.1, 2015-02-20 14:57:53, POST, /admin/default/site, HTTP/1.1, 303, 0.109199
127.0.0.1, 2015-02-20 14:57:54, GET, /admin/default/design/face, HTTP/1.1, 200, 0.182232
127.0.0.1, 2015-02-20 14:57:54, GET, /admin/static/images/search.png, HTTP/1.1, 200, 0.000432
127.0.0.1, 2015-02-20 14:57:54, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 200, 0.000681
127.0.0.1, 2015-02-20 14:57:54, GET, /admin/static/images/test_icon.png, HTTP/1.1, 200, 0.000643
127.0.0.1, 2015-02-20 14:57:54, GET, /admin/static/images/help.png, HTTP/1.1, 200, 0.004100
127.0.0.1, 2015-02-20 14:57:58, GET, /face/appadmin/index, HTTP/1.1, 200, 0.770945
127.0.0.1, 2015-02-20 14:57:58, GET, /face/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000684
127.0.0.1, 2015-02-20 14:57:58, GET, /face/static/js/web2py.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-02-20 14:57:58, GET, /face/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000790
127.0.0.1, 2015-02-20 14:57:58, GET, /face/static/css/web2py.css, HTTP/1.1, 200, 0.002598
127.0.0.1, 2015-02-20 14:57:58, GET, /face/static/css/calendar.css, HTTP/1.1, 200, 0.004976
127.0.0.1, 2015-02-20 14:57:58, GET, /face/static/js/calendar.js, HTTP/1.1, 200, 0.000953
127.0.0.1, 2015-02-20 14:57:58, GET, /face/static/js/jquery.js, HTTP/1.1, 200, 0.009128
127.0.0.1, 2015-02-20 14:57:58, GET, /face/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.002978
127.0.0.1, 2015-02-20 14:57:58, GET, /face/static/js/share.js, HTTP/1.1, 200, 0.002647
127.0.0.1, 2015-02-20 14:57:58, GET, /face/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.002106
127.0.0.1, 2015-02-20 14:57:58, GET, /face/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.003651
127.0.0.1, 2015-02-20 14:57:58, GET, /face/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000811
127.0.0.1, 2015-02-20 14:57:58, GET, /face/static/images/favicon.ico, HTTP/1.1, 200, 0.000642
127.0.0.1, 2015-02-20 14:57:58, GET, /face/static/images/twitter.png, HTTP/1.1, 200, 0.000423
127.0.0.1, 2015-02-20 14:57:58, GET, /face/static/images/facebook.png, HTTP/1.1, 200, 0.001223
127.0.0.1, 2015-02-20 14:57:58, GET, /face/static/images/gplus-32.png, HTTP/1.1, 200, 0.000865
127.0.0.1, 2015-02-20 14:57:58, GET, /face/appadmin/hooks, HTTP/1.1, 200, 0.053624
127.0.0.1, 2015-02-20 14:58:01, GET, /admin/default/design/face, HTTP/1.1, 200, 0.165788
127.0.0.1, 2015-02-20 14:58:30, GET, /admin/default/peek/face/controllers/default.py, HTTP/1.1, 200, 0.052302
127.0.0.1, 2015-02-20 14:58:39, GET, /admin/default/edit/face/controllers/default.py, HTTP/1.1, 200, 0.055920
127.0.0.1, 2015-02-20 14:58:40, GET, /admin/static/_2.9.12/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.000704
127.0.0.1, 2015-02-20 14:58:40, GET, /admin/static/_2.9.12/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.000462
127.0.0.1, 2015-02-20 14:58:40, GET, /admin/static/_2.9.12/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.000507
127.0.0.1, 2015-02-20 14:58:40, GET, /admin/static/_2.9.12/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.000485
127.0.0.1, 2015-02-20 14:58:40, GET, /admin/static/_2.9.12/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.000380
127.0.0.1, 2015-02-20 14:58:40, GET, /admin/static/_2.9.12/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.000373
127.0.0.1, 2015-02-20 14:58:40, GET, /admin/static/_2.9.12/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.000407
127.0.0.1, 2015-02-20 14:58:40, GET, /admin/static/_2.9.12/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.000680
127.0.0.1, 2015-02-20 14:58:40, GET, /admin/static/_2.9.12/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.002040
127.0.0.1, 2015-02-20 14:58:40, GET, /admin/static/_2.9.12/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.001775
127.0.0.1, 2015-02-20 14:58:40, GET, /admin/static/_2.9.12/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.003024
127.0.0.1, 2015-02-20 14:58:40, GET, /admin/static/_2.9.12/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.002214
127.0.0.1, 2015-02-20 14:58:40, GET, /admin/static/_2.9.12/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.000622
127.0.0.1, 2015-02-20 14:58:40, GET, /admin/static/_2.9.12/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.000702
127.0.0.1, 2015-02-20 14:58:40, GET, /admin/static/_2.9.12/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.002739
127.0.0.1, 2015-02-20 14:58:40, GET, /admin/static/_2.9.12/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.001795
127.0.0.1, 2015-02-20 14:58:40, GET, /admin/static/_2.9.12/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.002700
127.0.0.1, 2015-02-20 14:58:40, GET, /admin/static/_2.9.12/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.002489
